,Team,Total Points,Points Per Game,Scoring Margin,FG: Made-Attempted,FG: Percentage,FG: Per Game,3PT: Made-Attempted,3PT: Percentage,3PT: Per Game,FT: Made-Attempted,FT: Percentage,FT: Per Game,Total Rebounds,Rebounds Per Game,Rebound Margin,Total Assists,Assists Per Game,Total Turnovers,Turnovers Per Game,Turnovers Margin,Assist/Turnover Ratio,Points Off Turnovers,Total Steals,Steals Per Game,Total Blocks,Blocks Per Game,Total Attendance,Attendance Per Game,Season
0,Illinois,2614,74.7,7.0,1040-2159,.482,29.7,0-0,NaN,0.0,534-739,.723,15.3,1344,38.4,2.9,613,17.5,505,14.4,1.5,1.2,0.0,213,6.1,119,3.4,257012,"19-13,527",1979-80
1,Opponents,2369,67.7,--,909-2080,.437,26.0,0-0,NaN,0.0,551-780,.706,15.7,1244,35.5,--,479,13.7,556,15.9,--,0.9,0.0,182,5.2,84,2.4,134748,"11-12,250",1979-80
0,Illinois,2254,77.7,10.6,916-1799,.509,31.6,0-0,NaN,0.0,422-577,.731,14.6,1120,38.6,6.6,547,18.9,397,13.7,0.8,1.4,0.0,186,6.4,120,4.1,203100,"14-14,507",1980-81
1,Opponents,1948,67.2,--,755-1724,.438,26.0,0-0,NaN,0.0,438-607,.722,15.1,930,32.1,--,407,14.0,419,14.4,--,1.0,0.0,166,5.7,65,2.2,133902,"11-12,173",1980-81
0,Illinois,1914,66.0,6.8,768-1620,.474,26.5,0-0,NaN,0.0,378-533,.709,13.0,960,33.1,0.9,435,15.0,306,10.6,4.0,1.4,0.0,194,6.7,114,3.9,230651,"16-14,416",1981-82
1,Opponents,1716,59.2,--,667-1510,.442,23.0,0-0,NaN,0.0,382-547,.698,13.2,933,32.2,--,367,12.7,421,14.5,--,0.9,0.0,147,5.1,74,2.6,137419,"12-11,452",1981-82
0,Illinois,2168,67.8,2.7,866-1825,.475,27.1,16-37,.432,0.5,420-624,.673,13.1,1104,34.5,3.1,508,15.9,443,13.8,0.3,1.1,0.0,240,7.5,101,3.2,194384,"15-12,959",1982-83
1,Opponents,2081,65.0,--,822-1803,.456,25.7,47-119,.395,1.5,390-561,.695,12.2,1005,31.4,--,450,14.1,454,14.2,--,1.0,0.0,203,6.3,93,2.9,150225,"12-12,519",1982-83
0,Illinois,2105,67.9,11.9,836-1655,.505,27.0,0-0,NaN,0.0,433-618,.701,14.0,1015,32.7,5.4,523,16.9,343,11.1,2.5,1.5,0.0,212,6.8,73,2.4,183781,"15-12,252",1983-84
1,Opponents,1737,56.0,--,712-1617,.440,23.0,0-0,NaN,0.0,313-422,.742,10.1,847,27.3,--,353,11.4,422,13.6,--,0.8,0.0,157,5.1,78,2.5,134441,"11-12,222",1983-84
0,Illinois,2410,68.9,11.7,974-2005,.486,27.8,0-0,NaN,0.0,462-653,.708,13.2,1270,36.3,4.8,630,18.0,451,12.9,2.1,1.4,0.0,262,7.5,113,3.2,220567,"15-14,704",1984-85
1,Opponents,2001,57.2,--,832-1989,.418,23.8,0-0,NaN,0.0,337-503,.670,9.6,1101,31.5,--,437,12.5,525,15.0,--,0.8,0.0,200,5.7,71,2.0,138356,"11-12,578",1984-85
0,Illinois,2330,72.8,11.7,990-1828,.542,30.9,0-0,NaN,0.0,350-476,.735,10.9,1046,32.7,6.5,555,17.3,408,12.8,1.0,1.4,0.0,258,8.1,109,3.4,218016,"15-14,534",1985-86
1,Opponents,1957,61.2,--,779-1715,.454,24.3,0-0,NaN,0.0,399-529,.754,12.5,838,26.2,--,379,11.8,439,13.7,--,0.9,0.0,184,5.8,65,2.0,141671,"12-11,806",1985-86
0,Illinois,2488,80.3,9.9,956-1870,.511,30.8,112-243,.461,3.6,464-649,.715,15.0,1101,35.5,3.0,598,19.3,428,13.8,2.0,1.4,0.0,260,8.4,144,4.6,225441,"15-15,029",1986-87
1,Opponents,2182,70.4,--,814-1830,.445,26.3,100-260,.385,3.2,454-654,.694,14.6,1008,32.5,--,426,13.7,491,15.8,--,0.9,0.0,195,6.3,78,2.5,165325,"15-11,022",1986-87
0,Illinois,2725,82.6,11.7,1067-2107,.506,32.3,39-140,.279,1.2,552-827,.667,16.7,1233,37.4,4.1,582,17.6,500,15.2,3.8,1.2,0.0,310,9.4,113,3.4,245895,"16-15,368",1987-88
